Date, Open, High, Low, Close
3/31/2016,17716.05,17755.7,17669.72,17685.09
3/30/2016,17652.36,17790.11,17652.36,17716.66
3/29/2016,17512.58,17642.81,17434.27,17633.11
3/28/2016,17526.08,17583.81,17493.03,17535.39
3/24/2016,17485.33,17517.14,17399.01,17515.73
3/23/2016,17588.81,17588.81,17486.27,17502.59
3/22/2016,17602.71,17648.94,17540.42,17582.57
3/21/2016,17589.7,17644.97,17551.28,17623.87
3/18/2016,17481.49,17620.58,17481.49,17602.3
3/17/2016,17321.38,17529.01,17297.65,17481.49
3/16/2016,17249.34,17379.18,17204.07,17325.76
3/15/2016,17217.15,17251.7,17120.35,17251.53
3/14/2016,17207.49,17275.07,17161.16,17229.13
3/11/2016,17014.99,17220.09,17014.99,17213.31
3/10/2016,17006.05,17130.11,16821.86,16995.13
3/9/2016,16969.17,17048.5,16947.94,17000.36
3/8/2016,17050.67,17072.79,16921.51,16964.1
3/7/2016,16991.29,17099.25,16940.48,17073.95
3/4/2016,16945,17062.38,16898.84,17006.77
3/3/2016,16896.17,16944.31,16820.73,16943.9
3/2/2016,16851.17,16900.17,16766.32,16899.32
3/1/2016,16545.67,16865.56,16545.67,16865.08
2/29/2016,16634.15,16726.12,16510.4,16516.5
2/26/2016,16712.7,16795.98,16623.91,16639.97
2/25/2016,16504.38,16697.98,16458.42,16697.29
2/24/2016,16418.84,16507.39,16165.86,16484.99
2/23/2016,16610.39,16610.39,16403.53,16431.78
2/22/2016,16417.13,16664.24,16417.13,16620.66
2/19/2016,16410.96,16410.96,16278,16391.99
2/18/2016,16483.76,16511.84,16390.43,16413.43
2/17/2016,16217.98,16486.12,16217.98,16453.83
2/16/2016,16012.39,16196.41,16012.39,16196.41
2/12/2016,15691.62,15974.04,15691.62,15973.84
2/11/2016,15897.82,15897.82,15503.01,15660.18
2/10/2016,16035.61,16201.89,15899.91,15914.74
2/9/2016,16005.41,16136.62,15881.11,16014.38
2/8/2016,16147.51,16147.51,15803.55,16027.05
2/5/2016,16417.95,16423.63,16129.81,16204.97
2/4/2016,16329.67,16485.84,16266.16,16416.58
2/3/2016,16186.2,16381.69,15960.45,16336.66
2/2/2016,16420.21,16420.21,16108.44,16153.54
2/1/2016,16453.63,16510.98,16299.47,16449.18
1/29/2016,16090.26,16466.3,16090.26,16466.3
1/28/2016,15960.28,16102.14,15863.72,16069.64
1/27/2016,16168.74,16235.03,15878.3,15944.46
1/26/2016,15893.16,16185.79,15893.16,16167.23
1/25/2016,16086.46,16086.46,15880.15,15885.22
1/22/2016,15921.1,16136.79,15921.1,16093.51
1/21/2016,15768.87,16038.59,15704.66,15882.68
1/20/2016,15989.45,15989.45,15450.56,15766.74
1/19/2016,16009.45,16171.96,15900.25,16016.02
1/15/2016,16354.33,16354.33,15842.11,15988.08
1/14/2016,16159.01,16482.05,16075.12,16379.05
1/13/2016,16526.63,16593.51,16123.2,16151.41
1/12/2016,16419.11,16591.35,16322.07,16516.22
1/11/2016,16358.71,16461.85,16232.03,16398.57
1/8/2016,16519.17,16651.89,16314.57,16346.45
1/7/2016,16888.36,16888.36,16463.63,16514.1
1/6/2016,17154.83,17154.83,16817.62,16906.51
1/5/2016,17147.5,17195.84,17038.61,17158.66
1/4/2016,17405.48,17405.48,16957.63,17148.94
12/31/2015,17590.66,17590.66,17421.16,17425.03
12/30/2015,17711.94,17714.13,17588.87,17603.87
12/29/2015,17547.37,17750.02,17547.37,17720.98
12/28/2015,17535.66,17536.9,17437.34,17528.27
12/24/2015,17593.26,17606.34,17543.95,17552.17
12/23/2015,17427.63,17607.92,17427.63,17602.61
12/22/2015,17253.55,17451.11,17242.86,17417.27
12/21/2015,17154.94,17272.36,17116.73,17251.62
12/18/2015,17495.04,17496.58,17124.31,17128.55
12/17/2015,17756.54,17796.76,17493.5,17495.84
12/16/2015,17530.85,17784.36,17483.68,17749.09
12/15/2015,17374.78,17627.63,17341.18,17524.91
12/14/2015,17277.11,17378.02,17138.47,17368.5
12/11/2015,17574.75,17574.75,17230.5,17265.21
12/10/2015,17493.17,17697.74,17474.66,17574.75
12/9/2015,17558.18,17767.69,17403.51,17492.3
12/8/2015,17703.99,17703.99,17485.39,17568
12/7/2015,17845.49,17845.49,17639.25,17730.51
12/4/2015,17482.68,17866.47,17482.68,17847.63
12/3/2015,17741.57,17780.59,17425.56,17477.67
12/2/2015,17883.14,17901.58,17708.2,17729.68
12/1/2015,17719.72,17895.5,17719.72,17888.35
11/30/2015,17802.84,17837.24,17719.79,17719.92
11/27/2015,17806.04,17830.36,17749.32,17798.49
11/25/2015,17820.81,17854.92,17801.83,17813.39
11/24/2015,17770.9,17862.6,17683.51,17812.19
11/23/2015,17823.61,17868.18,17751.53,17792.68
11/20/2015,17732.75,17914.34,17732.75,17823.81
11/19/2015,17739.83,17772.97,17681.98,17732.75
11/18/2015,17485.49,17752.16,17485.49,17737.16
11/17/2015,17486.99,17599.33,17451.41,17489.5
11/16/2015,17229.94,17483.01,17210.43,17483.01
11/13/2015,17439.25,17439.25,17238.89,17245.24
11/12/2015,17691.93,17691.93,17443.5,17448.07
11/11/2015,17769.5,17807.18,17696.91,17702.22
11/10/2015,17724.13,17768.66,17657.72,17758.21
11/9/2015,17900.78,17900.78,17667.78,17730.48
11/6/2015,17855.22,17912.04,17768.6,17910.33
11/5/2015,17871.25,17929.51,17779.19,17863.43
11/4/2015,17929.58,17964.12,17828.83,17867.58
11/3/2015,17819.74,17977.85,17796.02,17918.15
11/2/2015,17672.62,17845.9,17655.02,17828.76
10/30/2015,17756.6,17799.96,17662.87,17663.54
10/29/2015,17771.5,17786,17684.72,17755.8
10/28/2015,17586.69,17779.95,17556.71,17779.52
10/27/2015,17608.89,17635.18,17540.57,17581.43
10/26/2015,17649.57,17660.7,17602.51,17623.05
10/23/2015,17525.11,17679.37,17525.11,17646.7
10/22/2015,17180.88,17505.18,17180.88,17489.16
10/21/2015,17225.93,17314.99,17153.13,17168.61
10/20/2015,17228.47,17264.88,17147.99,17217.11
10/19/2015,17209.43,17235.95,17129.19,17230.54
10/16/2015,17141.75,17220.02,17107.35,17215.97
