Date,1day_DOW,5days_DOW,30days_DOW,1day_Nasdaq,5days_Nasdaq,30days_Nasdaq,1day_S&P,5days_S&P,30days_S&P,1day_three,5days_three,30days_three
3/31/2016,-0.00174757,0.01142443,0.07287961,0.00005756,0.02666680,0.07074383,-0.00195275,0.01341219,0.06856822,-0.00121425,0.01716781,0.07073055
3/30/2016,0.00364257,0.00726883,0.09240855,-0.00126551,0.01151255,0.08892221,0.00275957,0.00751746,0.08697593,0.00171221,0.00876628,0.08943556
3/29/2016,0.00688248,0.00172701,0.10121662,0.01893606,0.01317418,0.10201796,0.00946089,0.00310944,0.09809028,0.01175981,0.00600354,0.10044162
3/28/2016,0.00053121,-0.00308760,0.11750030,-0.00385768,-0.00428634,0.10667961,-0.00041217,-0.00528837,0.11107779,-0.00124622,-0.00422077,0.11175256
3/24/2016,0.00173860,0.00195864,0.10176930,0.00635417,-0.00232617,0.13148019,0.00170233,-0.00255741,0.10229558,0.00326504,-0.00097498,0.11184836
3/23/2016,-0.00490198,0.01046164,0.09148264,-0.00935012,0.00341701,0.10434249,-0.00577974,0.00483987,0.09671530,-0.00667728,0.00623951,0.09751348
3/22/2016,-0.00114414,0.01931842,0.09853918,0.00795636,0.02199723,0.14125642,0.00056631,0.01765433,0.10892315,0.00245951,0.01965666,0.11623959
3/21/2016,0.00194261,0.02362296,0.09142958,0.00450359,0.01642944,0.12146634,0.00181656,0.01802740,0.09520891,0.00275425,0.01935993,0.10270161
3/18/2016,0.00691074,0.02294408,0.07213751,0.00230321,0.01315331,0.06772154,0.00412513,0.01501040,0.07135658,0.00444636,0.01703593,0.07040521
3/17/2016,0.00924349,0.02741700,0.07053541,0.00470690,0.01328635,0.06288514,0.00675413,0.02300084,0.06743838,0.00690151,0.02123473,0.06695298
3/16/2016,0.00443031,0.01879978,0.07040318,0.00976929,0.01551203,0.04845051,0.00644411,0.01820721,0.06300242,0.00688124,0.01750634,0.06061871
3/15/2016,0.00199685,0.01663959,0.05062785,-0.00052212,0.01333999,0.03050543,0.00032752,0.01740659,0.04168434,0.00060075,0.01579539,0.04093921
3/14/2016,0.00125759,0.01046645,0.04713246,0.00356819,0.01583749,0.03546305,0.00018323,0.01139779,0.04269625,0.00166967,0.01256724,0.04176392
3/11/2016,0.01165560,0.01306669,0.06979688,0.00765862,0.01227709,0.05238822,0.01377643,0.01306539,0.06768212,0.01103022,0.01280306,0.06328908
3/10/2016,-0.00064212,0.00295839,0.06483909,-0.00619032,-0.01136606,0.02830954,-0.00070319,-0.00222670,0.05535162,-0.00251188,-0.00354479,0.04950008
3/9/2016,0.00183804,0.00616649,0.05143382,0.00170580,-0.00510814,0.02759142,0.00394666,0.00184329,0.04559216,0.00249683,0.00096721,0.04153913
3/8/2016,-0.00507722,0.00670161,0.06738370,-0.00585952,-0.00746829,0.02463716,-0.00882376,0.00134576,0.05347589,-0.00658683,0.00019303,0.04849892
3/7/2016,0.00486485,0.03192860,0.06138641,0.00370295,0.02442123,0.02921795,0.00283052,0.03338515,0.05008707,0.00379944,0.02991166,0.04689714
3/4/2016,0.00364532,0.02240090,0.06819064,0.00026724,0.02872663,0.03502660,0.00299897,0.02714764,0.06529773,0.00230385,0.02609173,0.05617166
3/3/2016,0.00282490,0.01383379,0.07451580,0.00192408,0.01999501,0.05059917,0.00392831,0.01966806,0.07087988,0.00289243,0.01783229,0.06533162
3/2/2016,0.00285737,0.02392941,0.05690440,0.00418893,0.03264517,0.06769235,0.00498329,0.02825240,0.05877362,0.00400986,0.02827566,0.06112346
3/1/2016,0.01930475,0.02717853,0.05344531,0.02036339,0.05291280,0.03112329,0.02130000,0.03170170,0.04748866,0.02032271,0.03726435,0.04401909
2/29/2016,-0.00707280,-0.00565249,0.00991603,-0.00596463,0.00173633,0.02096154,-0.00765230,-0.00522556,0.00811295,-0.00689658,-0.00304724,0.01299684
2/26/2016,-0.00435178,0.01357363,0.02976420,-0.00534543,0.00926941,0.00992221,-0.00352945,0.01226856,0.02979891,-0.00440889,0.01170387,0.02316177
2/25/2016,0.01168841,0.01744749,0.01032636,0.00603114,0.02632452,-0.02631094,0.01026464,0.01823928,0.00585464,0.00932807,0.02067043,-0.00337665
2/24/2016,0.00402891,0.00007462,0.00401240,0.01991043,-0.00120715,-0.02967617,0.00638311,0.00115695,0.00102192,0.01010748,0.00000814,-0.00821395
2/23/2016,-0.01075291,0.01318290,0.00446673,-0.01021302,0.00713827,-0.03634579,-0.01086810,0.01183377,-0.00251800,-0.01061134,0.01071831,-0.01146569
2/22/2016,0.01239742,0.03798746,0.00614377,0.00490288,0.03925912,-0.03206470,0.01094347,0.03957384,-0.02005719,0.00941459,0.03894014,-0.01532604
2/19/2016,-0.00115593,0.04463338,-0.02939125,0.00890553,0.04576895,-0.04897596,0.00054261,0.04602378,-0.03401966,0.00276407,0.04547537,-0.03746229
2/18/2016,-0.00426662,0.03243275,-0.04321815,-0.01331546,0.06369805,-0.06776818,-0.00505299,0.03834865,-0.04666677,-0.00754503,0.04482648,-0.05255103
2/17/2016,0.01454250,0.02608070,-0.04045313,0.01395453,0.04996904,-0.07803828,0.01475663,0.03754239,-0.04318251,0.01441789,0.03786404,-0.05389131
2/16/2016,0.01149235,0.01193346,-0.06946490,0.00864261,0.04996363,-0.09426765,0.01289917,0.02549149,-0.06997351,0.01101138,0.02912953,-0.07790202
2/12/2016,0.01798540,-0.01075522,-0.09191355,0.00701595,0.01154140,-0.14058344,0.01711574,-0.00452154,-0.09502621,0.01403903,-0.00124512,-0.10917440
2/11/2016,-0.01494796,-0.04615497,-0.11584050,0.01138468,-0.05001472,-0.16355829,-0.00970224,-0.04390325,-0.11950866,-0.00442184,-0.04669098,-0.13296915
2/10/2016,-0.00753760,-0.02540958,-0.09304129,-0.00803328,-0.04649773,-0.15453017,-0.00282160,-0.03128681,-0.10127445,-0.00613083,-0.03439804,-0.11628197
2/9/2016,0.00056044,-0.01061522,-0.08675351,0.01038840,-0.06053498,-0.15172621,0.00202872,-0.02876663,-0.09989457,0.00432585,-0.03330561,-0.11279143
2/8/2016,-0.00745997,-0.02394366,-0.08902330,-0.00099580,-0.06645468,-0.15109220,-0.01057524,-0.04227859,-0.10180666,-0.00634367,-0.04422565,-0.11397405
2/5/2016,-0.01297239,-0.01511277,-0.07015641,-0.02857407,-0.04892541,-0.13180840,-0.01726016,-0.02937101,-0.07939962,-0.01960220,-0.03113640,-0.09378814
2/4/2016,0.00532221,0.02028059,-0.04851002,0.00380193,-0.00056067,-0.09604146,0.00197728,0.01132521,-0.05323385,0.00370047,0.01034838,-0.06592844
2/3/2016,0.00929557,0.02358229,-0.04769938,-0.00871064,-0.00652207,-0.09143456,0.00286307,0.01448640,-0.04862033,0.00114933,0.01051554,-0.06258476
